Ticker,Name,Year,ISIN Number,SIC Code,GICS Industry,Country or Territory of Domicile,Number of Employees,Total Assets,R&D Expense,R&D Expense Adjusted,Operating Expenses R&D,Cash and Cash Equivalents,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Tobin's Q Ratio,Return on Assets,Return on Common Equity,Gross Margin
AEE UN Equity,Ameren Corp,2016,US0236081024,4931,551030,US,8629,24699,0,#N/A N/A,#N/A N/A,9,41.3793,31.25,58.9286,1.2277,2.7018,9.296,71.8729
MED UN Equity,Medifast Inc,2016,US58470H1014,2090,303020,US,422,121.216,0,0,0,52.436,#N/A N/A,8.7719,48.2143,4.2848,14.9533,19.3229,74.9139
NVDA UW Equity,NVIDIA Corp,2016,US67066G1040,3674,453010,US,9227,7370,1331,1331,1331,596,57.3643,57.8947,62.5,2.5357,8.4277,13.8179,56.1078
ATR UN Equity,AptarGroup Inc,2016,US0383361039,3089,151030,US,12700,2606.785,66.2,0,0,466.287,38.7597,42.1053,62.5,2.2994,8.1494,17.6976,35.8123
BLMN UW Equity,Bloomin' Brands Inc,2016,US0942351083,5812,253010,US,97000,2642.279,0,0,0,127.176,4.6512,12.2807,51.7857,1.6494,1.4713,14.1273,16.3218
SEE UN Equity,Sealed Air Corp,2016,US81211K1007,2820,151030,US,23000,7389.1,88,0,0,363.7,17.8295,24.5614,51.7857,2.1047,6.5756,85.5735,33.2676
CPRT UW Equity,Copart Inc,2016,US2172041061,5511,202010,US,4844,1649.82,0,0,0,155.849,#N/A N/A,8.7719,51.7857,3.8973,15.68,31.0952,42.9332
RMD UN Equity,ResMed Inc,2016,US7611521078,3841,351010,US,5250,3256.705,118.651,118.651,118.651,731.434,37.2093,38.5965,57.1429,3.2106,12.9598,21.4744,58.0024
CTSH UW Equity,Cognizant Technology Solutions Corp,2016,US1924461023,7371,451020,US,260200,14262,0,0,0,2034,43.4109,38.5965,57.1429,2.6364,11.3677,15.5253,39.8829
DAKT UW Equity,Daktronics Inc,2016,US2342641097,3990,452030,US,2470,349.948,26.911,26.911,26.911,28.328,#N/A N/A,#N/A N/A,48.2143,1.5188,0.5651,0.9978,21.2251
ISRG UW Equity,Intuitive Surgical Inc,2016,US46120E6023,3842,351010,US,3755,6486.9,239.6,239.6,239.6,1036.6,#N/A N/A,19.2982,51.7857,3.9025,12.9171,14.5762,69.8898
MTD UN Equity,Mettler-Toledo International Inc,2016,US5926881054,3826,352030,US,14200,2166.777,119.196,119.196,119.196,158.674,42.6357,28.0702,71.4286,5.8256,18.6311,75.7081,57.32
ALB UN Equity,Albemarle Corp,2016,US0126531013,2821,151010,US,5000,8161.207,80.475,80.475,80.475,2269.756,41.0853,33.3333,57.1429,1.7218,7.2489,18.2617,36.2534
CNX UN Equity,CNX Resources Corp,2016,US12653C1080,1221,101020,US,2307,9179.691,0,0,0,46.299,38.7597,33.3333,64.2857,1.0419,-8.4348,-19.9544,10.8371
TBI UN Equity,TrueBlue Inc,2016,US89785X1019,7363,202020,US,6000,1130.445,0,0,0,34.97,#N/A N/A,19.2982,51.7857,1.455,-1.2763,-2.8755,24.7113
DSPG UW Equity,DSP Group Inc,2016,US23332B1061,3674,453010,US,333,185.944,34.885,34.885,34.885,17.752,#N/A N/A,14.0351,51.7857,1.7564,2.6023,3.3324,44.1332
SPWR UW Equity,SunPower Corp,2016,US8676524064,3674,453010,US,8902,4567.167,116.13,116.13,116.13,425.309,20.155,24.5614,51.7857,0.9798,-9.9969,-38.3449,7.4218
RSG UN Equity,Republic Services Inc,2016,US7607591002,4953,202010,US,33000,20629.6,0,0,0,67.8,27.907,43.8596,60.7143,1.5658,2.9763,7.9222,38.6005
RWT UN Equity,Redwood Trust Inc,2016,US7580754023,6798,402040,US,125,5483.477,#N/A N/A,#N/A N/A,#N/A N/A,212.844,3.5714,3.3333,55.3571,1.0035,2.2429,11.1086,#N/A N/A
EBAY UW Equity,eBay Inc,2016,US2786421030,7389,255020,US,12600,23847,1114,1114,1114,1816,27.907,35.0877,51.7857,1.9114,34.931,84.908,78.447
DAR UN Equity,Darling Ingredients Inc,2016,US2372661015,2070,302020,US,10000,4698.017,0,0,0,114.564,3.1008,24.5614,51.7857,1.0324,2.1568,5.3237,22.2994
GS UN Equity,Goldman Sachs Group Inc/The,2016,US38141G1040,6211,402030,US,34400,860165,#N/A N/A,#N/A N/A,#N/A N/A,121711,51.7857,16.6667,60.7143,1.0213,0.8595,9.3732,#N/A N/A
SCSC UW Equity,ScanSource Inc,2016,US8060371072,5045,452030,US,2000,1491.185,0,0,0,61.4,#N/A N/A,8.7719,51.7857,1.1181,4.2868,8.0353,10.04
SRE UN Equity,Sempra Energy,2016,US8168511090,4932,551030,US,16575,47786,0,#N/A N/A,#N/A N/A,349,47.5862,48.4375,80.3571,1.2555,3.0831,11.0662,62.1526
MCO UN Equity,Moody's Corp,2016,US6153691059,7320,402030,US,10617,5327.3,40.1,40.1,40.1,2051.5,29.4574,33.3333,57.1429,4.6044,5.112,#N/A N/A,#N/A N/A
EXP UN Equity,Eagle Materials Inc,2016,US26969P1084,3241,151020,US,2000,1883.635,0,0,0,5.391,3.876,19.2982,55.3571,2.2538,8.1081,14.8789,20.2552
BKNG UW Equity,Booking Holdings Inc,2016,US09857L1089,7389,253010,US,18500,19838.973,142.393,142.393,142.393,2081.075,#N/A N/A,14.0351,51.7857,4.1399,11.4601,22.9376,96.0131
FFIV UW Equity,F5 Inc,2016,US3156161024,3576,452010,US,4395,2306.323,334.227,334.227,334.227,514.571,#N/A N/A,19.2982,51.7857,4.0159,15.8426,29.2451,83.0978
AKAM UW Equity,Akamai Technologies Inc,2016,US00971T1016,7389,451020,US,6490,4373.146,167.628,167.628,167.628,324.169,30.2326,19.2982,51.7857,2.9044,7.3907,9.9644,65.428
HIW UN Equity,Highwoods Properties Inc,2016,US4312841087,6798,601010,US,438,4561.05,#N/A N/A,#N/A N/A,#N/A N/A,49.49,#N/A N/A,14.0351,55.3571,1.675,11.5908,28.3605,#N/A N/A
CALM UW Equity,Cal-Maine Foods Inc,2016,US1280302027,2015,302020,US,3277,1111.765,0,0,0,29.046,#N/A N/A,8.7719,51.7857,2.1736,30.9781,39.0454,33.9546
SLM UW Equity,SLM Corp,2016,US78442P1066,6141,402020,US,1300,18533.003,#N/A N/A,#N/A N/A,#N/A N/A,1918.793,#N/A N/A,18.3333,55.3571,1.1589,1.4835,13.8302,#N/A N/A
SSD UN Equity,Simpson Manufacturing Co Inc,2016,US8290731053,3420,201020,US,2647,979.974,46.248,42.048,46.248,226.537,#N/A N/A,#N/A N/A,48.2143,2.2342,9.2448,10.4605,47.9225
DVN UN Equity,Devon Energy Corp,2016,US25179M1036,1311,101020,US,5000,28675,0,0,0,1959,28.9256,45.3125,58.9286,1.5444,-3.6335,-13.8093,7.9224
GOOGL UW Equity,Alphabet Inc,2016,US02079K3059,7370,502030,US,72053,167497,13948,13948,13948,12918,45.7364,40.3509,57.1429,3.3949,12.3686,15.0196,61.0754
ESS UN Equity,Essex Property Trust Inc,2016,US2971781057,6798,601010,US,1799,12217.408,#N/A N/A,#N/A N/A,#N/A N/A,64.921,18.6047,3.5088,51.7857,1.7402,3.4259,6.6546,#N/A N/A
NFLX UW Equity,Netflix Inc,2016,US64110L1061,7841,502020,US,4700,13586.61,780.232,780.232,780.232,1467.576,#N/A N/A,3.5088,51.7857,4.7214,1.5694,7.6145,29.1394
GEO UN Equity,GEO Group Inc/The,2016,US36162J1060,8744,601010,US,19370,3749.409,0,0,0,68.038,1.5504,33.3333,55.3571,1.459,4.1009,15.0081,#N/A N/A
A UN Equity,Agilent Technologies Inc,2016,US00846U1016,3826,352030,US,12500,7794,329,329,329,2289,51.1628,43.8596,75,2.2668,6.0499,10.9869,52.2846
MATW UW Equity,Matthews International Corp,2016,US5771281012,3360,202010,US,10300,2091.041,14.793,14.793,14.793,55.711,#N/A N/A,#N/A N/A,48.2143,1.595,3.1525,9.274,37.5865
ANTM UN Equity,Anthem Inc,2016,US0367521038,6324,351020,US,53000,65083.1,0,0,0,4075.3,11.6279,19.2982,55.3571,1.197,3.8956,10.2599,21.2444
AMPH UW Equity,Amphastar Pharmaceuticals Inc,2016,US03209R1032,2834,352020,US,1541,427.738,41.199,40.998,41.199,72.354,#N/A N/A,7.8125,51.7857,2.2219,2.5755,3.3715,40.832
OGS UN Equity,ONE Gas Inc,2016,US68235P1084,4924,551020,US,3400,4942.791,0,#N/A N/A,#N/A N/A,14.663,8.9655,23.4375,51.7857,1.2945,2.9255,7.5121,62.0386
SLVM UN Equity,Sylvamo Corp,2016,US8713321029,2621,151050,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
CME UW Equity,CME Group Inc,2016,US12572Q1058,6200,402030,US,2700,69369.4,0,0,0,1868.6,2.3256,19.2982,51.7857,1.2692,2.244,7.5031,#N/A N/A
CLI UN Equity,Mack-Cali Realty Corp,2016,US5544891048,6798,601010,US,540,4296.766,#N/A N/A,#N/A N/A,#N/A N/A,31.611,3.1008,3.5088,51.7857,1.2504,2.8075,7.8599,#N/A N/A
JNPR UN Equity,Juniper Networks Inc,2016,US48203R1041,3576,452010,US,9832,9656.5,1013.7,1013.7,1013.7,1833.2,23.2558,22.807,57.1429,1.6014,6.4902,12.4296,62.2132
BLK UN Equity,BlackRock Inc,2016,US09247X1019,6211,402030,US,13000,220177,#N/A N/A,#N/A N/A,#N/A N/A,6091,16.0714,13.3333,60.7143,1.147,1.4242,11.0137,#N/A N/A
DTE UN Equity,DTE Energy Co,2016,US2333311072,4911,551030,US,10000,32041,0,#N/A N/A,#N/A N/A,92,55.8621,42.1875,64.2857,1.2704,2.8598,9.7621,47.9774
O UN Equity,Realty Income Corp,2016,US7561091049,6798,601010,US,146,13152.871,#N/A N/A,#N/A N/A,#N/A N/A,9.42,3.876,3.5088,51.7857,1.6536,2.5247,4.6229,#N/A N/A
NDAQ UW Equity,Nasdaq Inc,2016,US6311031081,6200,402030,US,4325,14150,0,0,0,403,9.3023,19.2982,57.1429,1.4064,0.815,1.9205,#N/A N/A
PM UN Equity,Philip Morris International Inc,2016,US7181721090,2111,302030,US,79500,36851,429,0,0,4239,58.9147,38.5965,69.6429,5.1959,19.6788,#N/A N/A,64.8079
NSIT UW Equity,Insight Enterprises Inc,2016,US45765U1034,5961,452030,US,5930,2219.3,#N/A N/A,0,0,202.882,#N/A N/A,14.0351,55.3571,1.3251,4.0011,12.1056,13.5466
CRM UN Equity,salesforce.com Inc,2016,US79466L3024,7372,451030,US,19742,12762.92,946.3,946.3,946.3,1158.363,26.3566,33.3333,57.1429,4.1858,-0.4049,-1.0565,75.1838
NWBI UW Equity,Northwest Bancshares Inc,2016,US6673401039,6021,401020,US,2145,9623.64,#N/A N/A,#N/A N/A,#N/A N/A,119.403,1.7857,8.3333,55.3571,1.0689,0.5348,4.2563,#N/A N/A
AMBC UN Equity,Ambac Financial Group Inc,2016,US0231398845,6351,403010,US,158,22635.702,#N/A N/A,#N/A N/A,#N/A N/A,91.025,#N/A N/A,3.3333,55.3571,0.9692,0.3229,4.4042,#N/A N/A
VECO UW Equity,Veeco Instruments Inc,2016,US9224171002,3559,453010,US,716,758.532,81.016,81.016,81.016,277.444,2.3256,8.7719,55.3571,1.7759,-14.8194,-18.6693,39.9632
MET UN Equity,MetLife Inc,2016,US59156R1086,6311,403010,US,58000,898764,#N/A N/A,#N/A N/A,#N/A N/A,12651,44.6429,26.6667,66.0714,0.9929,0.0957,1.138,#N/A N/A
ANDE UW Equity,Andersons Inc/The,2016,US0341641035,5150,301010,US,2176,2232.849,0,0,0,62.63,#N/A N/A,#N/A N/A,48.2143,1.2183,0.505,1.5059,8.8032
CI UN Equity,Cigna Corp,2016,US1255231003,6324,351020,US,41000,59360,0,0,0,3185,29.4574,43.8596,71.4286,1.346,3.2066,14.4965,32.705
SLGN UW Equity,Silgan Holdings Inc,2016,US8270481091,3411,151030,US,9100,3149.39,0,0,0,24.69,1.5504,3.5088,48.2143,1.7456,4.836,27.6657,14.7675
TPR UN Equity,Tapestry Inc,2016,US8760301072,3100,252030,US,8600,4892.7,0,0,0,859,22.9167,33.3333,62.5,2.7701,9.6343,17.8047,67.9305
BRKS UW Equity,Brooks Automation Inc,2016,US1143401024,3559,453010,US,1310,685.905,51.543,51.543,51.543,85.086,#N/A N/A,19.2982,51.7857,1.5571,-9.6187,-11.7186,35.3512
FLR UN Equity,Fluor Corp,2016,US3434121022,1600,201030,US,61551,9216.417,0,0,0,1850.436,47.2868,28.0702,64.2857,1.4545,3.3417,9.1923,4.1516
WSR UN Equity,Whitestone REIT,2016,US9660842041,6798,601010,US,106,855.209,#N/A N/A,#N/A N/A,#N/A N/A,4.168,#N/A N/A,8.7719,51.7857,1.1965,0.9688,2.9323,#N/A N/A
ACIW UW Equity,ACI Worldwide Inc,2016,US0044981019,7372,451030,US,4111,1902.295,169.9,169.9,169.9,75.753,#N/A N/A,8.7719,51.7857,1.7227,6.6804,18.3827,55.7608
RCII UW Equity,Rent-A-Center Inc/TX,2016,US76009N1000,7359,255040,US,21600,1602.741,0,0,0,95.396,#N/A N/A,14.0351,51.7857,1.2078,-5.8609,-28.6083,65.3015
NATI UW Equity,National Instruments Corp,2016,US6365181022,7372,452030,US,7522,1496.564,235.706,234.888,235.706,285.283,32.5581,28.0702,46.4286,2.9163,5.6083,7.5352,74.5053
EW UN Equity,Edwards Lifesciences Corp,2016,US28176E1082,3842,351010,US,11100,4510,442.2,442.2,442.2,930.1,54.2636,33.3333,66.0714,4.8155,13.2963,22.237,73.0944
ARLO UN Equity,Arlo Technologies Inc,2016,US04206A1016,7370,452030,US,#N/A N/A,158.581,24.438,24.438,24.438,0.22,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,20.603
AMP UN Equity,Ameriprise Financial Inc,2016,US03076C1062,6282,402030,US,13000,139821,#N/A N/A,#N/A N/A,#N/A N/A,2486,5.3571,18.3333,55.3571,1.0778,0.9209,19.4764,#N/A N/A
BJ UN Equity,BJ's Wholesale Club Holdings Inc,2016,US05550J1016,#N/A N/A,301010,US,#N/A N/A,#N/A N/A,0,0,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,15.9697
IART UW Equity,Integra LifeSciences Holdings Corp,2016,US4579852082,3826,351010,US,3700,1807.954,58.155,57.955,58.155,102.055,#N/A N/A,8.7719,51.7857,2.3084,4.1631,9.3726,64.8122
IBOC UW Equity,International Bancshares Corp,2016,US4590441030,6022,401010,US,2861,11804.041,#N/A N/A,#N/A N/A,#N/A N/A,269.198,#N/A N/A,3.3333,51.7857,1.0819,1.1361,7.9012,#N/A N/A
ZBH UN Equity,Zimmer Biomet Holdings Inc,2016,US98956P1021,3842,351010,US,18500,26684.4,365.6,365.6,365.6,634.1,8.5271,22.807,60.7143,1.4135,1.1362,3.1283,68.9401
HLIT UW Equity,Harmonic Inc,2016,US4131601027,3663,452010,US,1376,554.069,98.401,98.401,98.401,55.635,2.3256,3.5088,51.7857,1.2195,-13.4036,-24.1526,49.4567
CBRE UN Equity,CBRE Group Inc,2016,US12504L1098,6500,601020,US,75000,10779.587,0,0,0,762.576,38.7597,54.386,62.5,1.7056,5.2481,19.9741,30.2019
WAB UN Equity,Westinghouse Air Brake Technologies Corp,2016,US9297401088,3743,201060,US,20000,6581.018,71.375,71.375,71.375,398.484,3.1008,14.0351,51.7857,1.8686,6.2155,15.6129,31.5312
MA UN Equity,Mastercard Inc,2016,US57636Q1040,7389,451020,US,11900,18675,0,0,0,6721,22.4806,24.5614,51.7857,6.6737,23.2441,69.4796,#N/A N/A
LSI UN Equity,Life Storage Inc,2016,US53223X1072,6798,601010,US,1537,3857.984,#N/A N/A,#N/A N/A,#N/A N/A,23.685,1.5504,14.0351,51.7857,1.4853,2.8519,5.1796,#N/A N/A
GME UN Equity,GameStop Corp,2016,US36467W1099,5734,255040,US,23000,4975.9,0,0,0,669.4,#N/A N/A,14.0351,55.3571,1.079,7.6598,16.345,34.9597
CACI UN Equity,CACI International Inc,2016,US1271903049,7373,202020,US,19900,3987.341,0,0,0,49.082,1.5504,8.7719,51.7857,1.1484,3.9505,9.2507,33.5578
POOL UW Equity,Pool Corp,2016,US73278L1052,5090,255010,US,3900,994.095,0,0,0,21.956,1.5504,3.5088,51.7857,5.1063,15.4481,64.6291,28.8271
KMX UN Equity,CarMax Inc,2016,US1431301027,5511,255040,US,22429,14459.911,0,0,0,37.394,6.9767,22.807,55.3571,1.422,4.5081,20.5698,13.3254
MD UN Equity,MEDNAX Inc,2016,US58502B1061,8060,351020,US,3600,5339.4,0,0,0,55.698,#N/A N/A,3.5088,55.3571,1.653,6.5728,12.5008,#N/A N/A
ICE UN Equity,Intercontinental Exchange Inc,2016,US45866F1049,6200,402030,US,5631,82003,0,0,0,407,13.1783,22.807,51.7857,1.2177,1.7876,9.3694,#N/A N/A
CENX UW Equity,Century Aluminum Co,2016,US1564311082,3334,151040,US,1741,1540.327,0,0,0,132.403,1.5504,19.2982,51.7857,0.9936,-15.3314,-28.5947,-0.8371
RGNX UW Equity,REGENXBIO Inc,2016,US75901B1070,2836,352010,US,107,172.732,45.482,45.482,45.482,24.84,#N/A N/A,19.2982,51.7857,2.9071,-29.6251,-30.8434,89.5511
FIS UN Equity,Fidelity National Information Services I,2016,US31620M1062,7389,451020,US,55000,26031,#N/A N/A,0,0,683,1.5504,19.2982,51.7857,1.5789,2.0103,5.5083,33.2465
AEIS UW Equity,Advanced Energy Industries Inc,2016,US0079731008,3679,452030,US,1558,571.529,44.445,44.445,44.445,281.953,1.5504,8.7719,51.7857,4.1182,24.6518,38.8784,52.3351
CMG UN Equity,Chipotle Mexican Grill Inc,2016,US1696561059,5812,253010,US,64570,2026.103,0,0,0,87.88,33.3333,33.3333,62.5,5.6738,0.9656,1.2994,12.7604
CNMD UN Equity,CONMED Corp,2016,US2074101013,3845,351010,US,3300,1328.983,32.254,32.254,32.254,27.428,#N/A N/A,#N/A N/A,48.2143,1.488,1.2066,2.516,53.4799
CSGS UW Equity,CSG Systems International Inc,2016,US1263491094,7374,451020,US,3312,891.879,98.7,98.683,98.683,126.351,#N/A N/A,#N/A N/A,48.2143,2.4689,7.1676,21.0588,50.7007
WYNN UW Equity,Wynn Resorts Ltd,2016,US9831341071,7011,253010,US,24600,11953.557,0,0,0,2453.122,16.2791,36.8421,51.7857,1.7235,2.1532,#N/A N/A,37.8899
NKTR UW Equity,Nektar Therapeutics,2016,US6402681083,2834,352020,US,468,568.871,203.801,203.801,203.801,59.64,#N/A N/A,17.5439,51.7857,4.1497,-28.7629,-324.733,81.7361
OGN UN Equity,Organon & Co,2016,US68622V1061,#N/A N/A,352020,US,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
LKFN UW Equity,Lakeland Financial Corp,2016,US5116561003,6022,401010,US,524,4290.025,#N/A N/A,#N/A N/A,#N/A N/A,142.408,#N/A N/A,#N/A N/A,46.4286,1.1758,1.293,12.7067,#N/A N/A
AIZ UN Equity,Assurant Inc,2016,US04621X1081,6321,403010,US,14700,29709.128,#N/A N/A,#N/A N/A,#N/A N/A,1031.971,9.8214,16.6667,51.7857,1.0369,1.8925,13.114,#N/A N/A
TTEC UW Equity,TTEC Holdings Inc,2016,US89854H1023,7363,451020,US,48000,846.304,#N/A N/A,0,0,55.264,#N/A N/A,#N/A N/A,48.2143,2.2425,3.9864,8.542,26.1646
ENTA UW Equity,Enanta Pharmaceuticals Inc,2016,US29251M1062,2834,352010,US,76,281.277,40.461,40.461,40.461,16.577,#N/A N/A,7.8125,51.7857,1.8412,8.2179,8.5621,#N/A N/A
NRG UN Equity,NRG Energy Inc,2016,US6293775085,4911,551010,US,8763,30682,89,89,89,938,53.4884,38.5965,69.6429,1.0595,-2.4353,-29.7949,30.546
GNW UN Equity,Genworth Financial Inc,2016,US37247D1063,6311,403010,US,3400,104658,#N/A N/A,#N/A N/A,#N/A N/A,2784,#N/A N/A,16.6667,55.3571,0.8973,-0.2624,-2.1753,#N/A N/A
AMCR UN Equity,Amcor PLC,2016,JE00BJ1F3079,3990,151030,GB,31761,8682.1,67.4,67.4,67.4,515.7,48.062,49.1228,53.5714,#N/A N/A,2.8336,21.6968,21.1733
THG UN Equity,Hanover Insurance Group Inc/The,2016,US4108671052,6331,403010,US,4800,14220.4,#N/A N/A,#N/A N/A,#N/A N/A,282.6,1.7857,13.3333,55.3571,1.0704,1.1078,5.4403,#N/A N/A
RF UN Equity,Regions Financial Corp,2016,US7591EP1005,6021,401010,US,22166,125968,#N/A N/A,#N/A N/A,#N/A N/A,1853,28.5714,21.6667,60.7143,1.0141,0.9229,6.976,#N/A N/A
TDC UN Equity,Teradata Corp,2016,US88076W1036,3571,451030,US,10093,2413,212,212,212,974,35.6589,31.5789,62.5,2.0681,5.0607,13.7363,51.1628
GOOG UW Equity,Alphabet Inc,2016,US02079K1079,7370,502030,US,72053,167497,13948,13948,13948,12918,45.7364,40.3509,57.1429,3.3949,12.3686,15.0196,61.0754
MOS UN Equity,Mosaic Co/The,2016,US61945C1036,2870,151010,US,8700,16840.7,0,0,0,673.1,68.2171,59.6491,78.5714,1.0408,1.74,3.1156,11.3084
SWM UN Equity,Schweitzer-Mauduit International Inc,2016,US8085411069,2621,151050,US,3000,1173.7,17.5,17.5,17.5,107.4,#N/A N/A,#N/A N/A,51.7857,1.7518,6.7216,16.9432,30.5632
EXPE UW Equity,Expedia Group Inc,2016,US30212P3038,4700,253010,US,20075,15777.546,1235,1235,1235,1796.811,#N/A N/A,33.3333,51.7857,1.8153,1.803,6.269,81.7985
HOPE UW Equity,Hope Bancorp Inc,2016,US43940T1097,6021,401010,US,1372,13441.422,#N/A N/A,#N/A N/A,#N/A N/A,168.827,1.7857,13.3333,55.3571,1.0822,1.0653,8.1435,#N/A N/A
DISCA UW Equity,Discovery Inc,2016,US25470F1049,4841,502010,US,7000,15672,0,0,0,300,#N/A N/A,14.0351,51.7857,1.352,7.5723,14.8672,62.5673
MPAA UW Equity,Motorcar Parts of America Inc,2016,US6200711009,3714,251010,US,2663,413.372,3.008,3.008,3.008,21.897,#N/A N/A,#N/A N/A,48.2143,2.1927,2.5323,5.2682,27.3529
HAFC UW Equity,Hanmi Financial Corp,2016,US4104952043,6021,401010,US,638,4701.346,#N/A N/A,#N/A N/A,#N/A N/A,147.235,3.5714,8.3333,51.7857,1.1271,1.2643,11.0229,#N/A N/A
CF UN Equity,CF Industries Holdings Inc,2016,US1252691001,2870,151010,US,2900,15131,0,0,0,1164,32.5581,38.5965,57.1429,1.2637,-1.9918,-7.5037,22.8765
SHEN UW Equity,Shenandoah Telecommunications Co,2016,US82312B1061,4813,501020,US,1187,1484.407,0,0,0,36.193,#N/A N/A,12.5,55.3571,1.7006,-0.0848,-0.3055,63.8475
LDOS UN Equity,Leidos Holdings Inc,2016,US5253271028,7373,202020,US,32000,9132,44,0,0,376,34.8837,33.3333,60.7143,1.4967,3.9034,11.6108,13.3466
HUBG UW Equity,Hub Group Inc,2016,US4433201062,4731,203010,US,2755,1360.259,0,0,0,127.404,1.5504,8.7719,51.7857,1.6271,5.6215,11.7247,12.046
TNL UN Equity,Travel + Leisure Co,2016,US8941641024,7011,253010,US,37800,9819,0,0,0,113,37.9845,52.6316,67.8571,1.7485,6.2957,73.4375,95.5136
SGH UW Equity,SMART Global Holdings Inc,2016,KYG8232Y1017,3674,453010,US,#N/A N/A,458.655,38.116,38.116,38.116,58.634,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-3.9009,#N/A N/A,20.0089
Y UN Equity,Alleghany Corp,2016,US0171751003,6331,403010,US,3420,23756.591,#N/A N/A,#N/A N/A,#N/A N/A,594.091,#N/A N/A,13.3333,55.3571,1.0602,1.9612,5.8978,#N/A N/A
FSLR UW Equity,First Solar Inc,2016,US3364331070,3674,453010,US,5400,6824.368,124.762,124.762,124.762,1347.155,54.2636,43.8596,62.5,0.7245,-5.8853,-7.7295,21.9798
STRA UW Equity,Strategic Education Inc,2016,US86272C1036,8200,253020,US,1542,298.696,0,0,0,129.245,1.5504,3.5088,51.7857,3.3639,12.7217,21.0138,45.3565
REX UN Equity,REX American Resources Corp,2016,US7616241052,2860,101020,US,116,414.685,0,0,0,135.765,#N/A N/A,#N/A N/A,48.2143,1.106,7.2131,9.5083,11.6461
MASI UW Equity,Masimo Corp,2016,US5747951003,3845,351010,US,1243,820.525,59.362,59.362,59.362,305.97,#N/A N/A,8.7719,51.7857,4.4398,42.28,71.9597,66.7697
TEL UN Equity,TE Connectivity Ltd,2016,CH0102993182,3679,452030,CH,75000,17608,603,603,603,647,41.8605,49.1228,71.4286,1.8171,10.5192,22.2357,33.7121
ONTO UN Equity,Onto Innovation Inc,2016,US6833441057,3829,453010,US,532,287.83,31.443,31.443,31.443,47.062,1.5504,8.7719,51.7857,2.3359,16.8275,20.429,51.6097
HIBB UW Equity,Hibbett Inc,2016,US4285671016,5940,255040,US,3300,442.372,0,0,0,32.274,2.0833,12.2807,55.3571,1.9546,15.7645,22.1916,35.2787
DFS UN Equity,Discover Financial Services,2016,US2547091080,6141,402020,US,15549,92308,#N/A N/A,#N/A N/A,#N/A N/A,11914,13.3929,13.3333,51.7857,1.1872,2.6721,21.8109,#N/A N/A
VGR UN Equity,Vector Group Ltd,2016,US92240M1080,2111,302030,US,1425,1404.035,0,0,0,393.53,#N/A N/A,8.7719,51.7857,3.3054,5.2988,#N/A N/A,46.9264
ADNT UN Equity,Adient PLC,2016,IE00BD845X29,3714,251010,US,75000,12956,460,460,460,105,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,-13.2176,-31.5446,9.5831
TRIP UW Equity,TripAdvisor Inc,2016,US8969452015,7370,502030,US,3327,2238,243,243,243,612,#N/A N/A,3.5088,51.7857,3.3148,5.497,8.2361,95.2027
TBBK UW Equity,Bancorp Inc/The,2016,US05969A1051,6021,401010,US,589,4858.114,#N/A N/A,#N/A N/A,#N/A N/A,4.127,#N/A N/A,#N/A N/A,48.2143,1.028,-2.0053,-31.1785,#N/A N/A
AMSF UW Equity,AMERISAFE Inc,2016,US03071H1005,6331,403010,US,437,1518.856,#N/A N/A,#N/A N/A,#N/A N/A,58.936,#N/A N/A,#N/A N/A,48.2143,1.4891,5.1551,17.1107,#N/A N/A
V UN Equity,Visa Inc,2016,US92826C8394,7389,451020,US,#N/A N/A,64035,0,0,0,5619,31.7829,22.807,67.8571,3.6013,11.4912,21.0074,#N/A N/A
TGI UN Equity,Triumph Group Inc,2016,US8968181011,3720,201010,US,14602,4835.093,103.031,#N/A N/A,#N/A N/A,20.984,1.5504,19.2982,51.7857,1.1278,-19.2206,-68.2548,7.431
CARA UQ Equity,Cara Therapeutics Inc,2016,US1407551092,2834,352020,US,34,63.828,49.253,49.253,49.253,12.092,#N/A N/A,8.7719,51.7857,4.1783,-65.5659,-73.5448,#N/A N/A
CAR UW Equity,Avis Budget Group Inc,2016,US0537741052,7510,203040,US,30000,17643,0,0,0,490,#N/A N/A,22.807,51.7857,1.1663,0.9241,49.3939,49.3937
XYL UN Equity,Xylem Inc/NY,2016,US98419M1009,3561,201060,US,16000,6474,110,110,110,308,57.3643,43.8596,62.5,2.0347,4.6716,12.1666,38.7696
